high price,Supply Ability,title,moq,supplier company,currency,Packaging Details,low price,Payment Terms,supplier url,Delivery Details,supplier name,Port,unit,image list
2.2,100000 Set/Sets per Month,Custom logo disposable electronic cigarettes disposable cbd oil .5ml vape cartridge for cbd oil/hemp oil, 100 Pieces,"Shenzhen Cera Vape Technology Co., Ltd.",US $,"plastic tube package, 100pcs packed in each white box. customizes package welcome.",1.4,"T/T,Western Union,MoneyGram,Paypal",https://ceramicvape.m.en.alibaba.com,Shipped in 3 days after payment,Joy Chou,Shenzhen or USA, / Piece,"['sc01.alicdn.com/kf/HTB14ya6SpXXXXbOaFXXq6xXFXXXF/Custom-logo-disposable-electronic-cigarettes-disposable-cbd.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1QRPqSpXXXXXvaXXXq6xXFXXX9/Custom-logo-disposable-electronic-cigarettes-disposable-cbd.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB15MLASpXXXXcxXFXXq6xXFXXXN/Custom-logo-disposable-electronic-cigarettes-disposable-cbd.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1NkHTSpXXXXaFXXXXq6xXFXXX8/Custom-logo-disposable-electronic-cigarettes-disposable-cbd.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1e__CSpXXXXazXFXXq6xXFXXXh/Custom-logo-disposable-electronic-cigarettes-disposable-cbd.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1y7a6SpXXXXaTaFXXq6xXFXXXj/Custom-logo-disposable-electronic-cigarettes-disposable-cbd.jpg_640x640.jpg']"
48,10000 Set/Sets per Week,$50 OFF Wholesale vaporizer cbd hemp oil cartridge bbtank t1 vaporizer pen, 1 Set,"Shenzhen Hotom Technology Co., Ltd.",US $,Gift Box,1,"L/C,D/P,T/T,Western Union,MoneyGram",https://hotom.m.en.alibaba.com,Shipped in 5 days after payment,leaf deng,"SHENZHEN ,GUANGZHOU HK", / Set,['sc02.alicdn.com/kf/HTB1Q1raLXXXXXb2XFXXq6xXFXXXI/Wholesale-vaporizer-cbd-hemp-oil-cartridge-bbtank.jpg_640x640.jpg']
5,5000 Set/Sets per Day MKB cbd oil vape pen,$50 OFF High quality glass atomizer organic cotton smiss MKB hemp oil cbd oil vape pen, 50 Sets,"Yiwu Vaporoad Electronics Co., Ltd.",US $,MKB Gift Box,1,"T/T,Western Union,MoneyGram,paypal",https://vaporoad.m.en.alibaba.com,3-7day,Tan Xu,shenzhen, / Set,"['sc01.alicdn.com/kf/HTB1L.hVSFXXXXb_XpXXq6xXFXXX3/High-quality-glass-atomizer-organic-cotton-smiss.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB19GRTSFXXXXXgXFXXq6xXFXXX3/High-quality-glass-atomizer-organic-cotton-smiss.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1QXJ.SFXXXXX1XXXXq6xXFXXX8/High-quality-glass-atomizer-organic-cotton-smiss.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1LHhzSFXXXXXEaXXXq6xXFXXXi/High-quality-glass-atomizer-organic-cotton-smiss.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1UJtxSFXXXXX7aXXXq6xXFXXXc/High-quality-glass-atomizer-organic-cotton-smiss.jpg_640x640.jpg']"
2.35,1000000 Set/Sets per Month,$50 OFF Wholesale Colorful Slim O.pen Battery Best Oil 510 Atomizer Vapor Pens Disposable Hemp oil vaporizer cartridge CBD Cartomizer, 1 Piece,"Shenzhen Kingtons Technology Co., Ltd.",US $,"Plastic tube,gift box or Customize",1.88,"T/T,Western Union,MoneyGram,PayPal",https://szkingtons.m.en.alibaba.com,3-10 days depends on order size,Coco Deng,Shenzhen port, / Piece,"['sc01.alicdn.com/kf/HTB14sd7OpXXXXcrXXXXq6xXFXXXK/Wholesale-Colorful-Slim-O-pen-Battery-Best.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1mDhxOpXXXXbuaXXXq6xXFXXXh/Wholesale-Colorful-Slim-O-pen-Battery-Best.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1faN0OpXXXXcTXpXXq6xXFXXXV/Wholesale-Colorful-Slim-O-pen-Battery-Best.jpg_640x640.jpg']"
7.5,1000000 Piece/Pieces per Quarter over 1000 pcs offer OEM service,Yocan Hive CBD Hemp Oil and Skillet Vaporizer 510 Wax Atomizer, 30 Sets,"Shenzhen Mosterule Electronic Technology Co., Ltd.",US $,ego case,5,"T/T,Western Union,MoneyGram,paypal",https://mosterule.m.en.alibaba.com,within 2-3 work days to ship,Selina fan,sz/hk, / Set,"['sc01.alicdn.com/kf/HTB1RdeFRXXXXXaiXXXXq6xXFXXXt/Yocan-Hive-CBD-Hemp-Oil-and-Skillet.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1GgF9RXXXXXctXVXXq6xXFXXX5/Yocan-Hive-CBD-Hemp-Oil-and-Skillet.jpg_640x640.jpg']"
10,5000 Piece/Pieces per Day,$50 OFF CBD Battery Vaporizer Pen Kit CBD Vape Battery 15W Box Mod Kits Hemp Oil Cartridge 510 with CBD Glass Atomizer, 10 Sets,"Shenzhen Pluto Technology Co., Ltd.",US $,gift box,8,"T/T,Western Union,paypal",https://pluto.m.en.alibaba.com,1-4days,Tracy Liu,shenzhen, / Set,['sc01.alicdn.com/kf/HTB1VwcVSpXXXXbDXFXXq6xXFXXXZ/CBD-Battery-Vaporizer-Pen-Kit-CBD-Vape.jpg_640x640.jpg']
8.5,100000 Set/Sets per Month,$50 OFF High Quality 1000mah Magnetic Cbd Hemp Oil Vape box D-box With 3.4/3.6/3.8/4.0V, 20 Sets,"Shenzhen Clean Vapor Technology Co., Ltd.",US $,"Option A: We offer the D-box gift box.
Option B: If OEM packaging is needed , please contact me. Communicate with me about details of your design , and our professional design team will realize your idea.",6.5,"T/T,Western Union,Paypal",https://vclouds.m.en.alibaba.com,"1-3 days for sample, 5-7 days for order",Jeffery Xu,HK Port, / Set,"['sc01.alicdn.com/kf/HTB1AdyLPFXXXXbVXpXXq6xXFXXXs/High-Quality-1000mah-Magnetic-Cbd-Hemp-Oil.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1uUyHPFXXXXb6XpXXq6xXFXXXB/High-Quality-1000mah-Magnetic-Cbd-Hemp-Oil.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1vAqTPFXXXXbxXXXXq6xXFXXXE/High-Quality-1000mah-Magnetic-Cbd-Hemp-Oil.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1ORONPFXXXXbhXpXXq6xXFXXXj/High-Quality-1000mah-Magnetic-Cbd-Hemp-Oil.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB10HGFPFXXXXapXFXXq6xXFXXXK/High-Quality-1000mah-Magnetic-Cbd-Hemp-Oil.jpg_640x640.jpg']"
1.8,2000000 Piece/Pieces per Month,Best quality Amigo Liberty cbd oil Cartridge e-cigarette tank 510 Glass Vape pen For Hemp Oil cbd oil vaporizer, 100 Pieces,"Shenzhen Changing Technology Co., Ltd.",US $,Plastic tube,1.7,"T/T,Western Union,paypal",https://qianhengjin.m.en.alibaba.com,2-3 days for sample after payment,Dora Hong,Hongkong, / Piece,"['sc02.alicdn.com/kf/HTB13dHBOVXXXXcWXXXXq6xXFXXXl/Best-quality-Amigo-Liberty-cbd-oil-Cartridge.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1Bz6xOVXXXXaYXpXXq6xXFXXXO/Best-quality-Amigo-Liberty-cbd-oil-Cartridge.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1MW6wOVXXXXcjXXXXq6xXFXXXv/Best-quality-Amigo-Liberty-cbd-oil-Cartridge.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1gPCQOVXXXXXlaVXXq6xXFXXXb/Best-quality-Amigo-Liberty-cbd-oil-Cartridge.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1YBOROVXXXXXkaVXXq6xXFXXX4/Best-quality-Amigo-Liberty-cbd-oil-Cartridge.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1FpztOVXXXXXcXpXXq6xXFXXX0/Best-quality-Amigo-Liberty-cbd-oil-Cartridge.jpg_640x640.jpg']"
1.9,100000 Set/Sets per Week,2017 New Arrival Ceramic CBD Hemp Oil 92A4 Cartridge 0.5ml/1.0ml VS 92A3 Vaporizer, 10 Pieces,"Shenzhen Hoohoom Technology Co., Ltd.",US $,gif box,1.5,"L/C,D/A,D/P,T/T,Western Union,MoneyGram",https://hoohoom.m.en.alibaba.com,"1-2 Days for Sample, 3-5 days for Bulk Order",Owen Liao,shenzhen, / Piece,"['sc01.alicdn.com/kf/HTB1U_pWSXXXXXanXVXXq6xXFXXXi/2017-New-Arrival-Ceramic-CBD-Hemp-Oil.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1LrOhSXXXXXaKXpXXq6xXFXXXR/2017-New-Arrival-Ceramic-CBD-Hemp-Oil.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB18hR1SXXXXXXFXVXXq6xXFXXXT/2017-New-Arrival-Ceramic-CBD-Hemp-Oil.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1n2qnSXXXXXbnXXXXq6xXFXXXc/2017-New-Arrival-Ceramic-CBD-Hemp-Oil.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1ZulASXXXXXb_apXXq6xXFXXXn/2017-New-Arrival-Ceramic-CBD-Hemp-Oil.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB10YXxSXXXXXbeapXXq6xXFXXXE/2017-New-Arrival-Ceramic-CBD-Hemp-Oil.jpg_640x640.jpg']"
1.88,50000000 Piece/Pieces per Month,KELVIN K8 cbd hemp oil cartridge with Unique airflow System for 4 pcs 2.3mm intake Holes For CBD/CO2/THC Thick Oil, 5 Pieces,"Shenzhen Kelvin Technology Co., Ltd.",US $,Box or Other Custom package,1.69,"T/T,Western Union,Paypal",https://coilart.m.en.alibaba.com,3 days,Jack Tang,Shenzhen, / Piece,"['sc01.alicdn.com/kf/HTB1WeeKSXXXXXctXFXXq6xXFXXXY/KELVIN-K8-cbd-hemp-oil-cartridge-with.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1J7S9SXXXXXXKXpXXq6xXFXXXe/KELVIN-K8-cbd-hemp-oil-cartridge-with.jpg_640x640.jpg']"
1.25,300000 Set/Sets per Month,The latest package O PEN Vaporizer Pen CBD oil / hemp oil CBD, 50 Sets,"Shenzhen Nextrend Technology Co., Ltd.",US $,"gift box or blister pack,customized",1,"T/T,Western Union,paypal",https://nextrend.m.en.alibaba.com,1-5wroking days after receive payment,Benson Lee,"shenzhen ,HongKong", / Set,"['sc01.alicdn.com/kf/HTB1byctIXXXXXXMXVXXq6xXFXXXH/The-latest-package-O-PEN-Vaporizer-Pen.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1hcQFIXXXXXc7XpXXq6xXFXXXi/The-latest-package-O-PEN-Vaporizer-Pen.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1uJ.IIXXXXXbIXpXXq6xXFXXXM/The-latest-package-O-PEN-Vaporizer-Pen.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB15TMBIXXXXXaTXFXXq6xXFXXXM/The-latest-package-O-PEN-Vaporizer-Pen.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1sB3FIXXXXXcUXpXXq6xXFXXXZ/The-latest-package-O-PEN-Vaporizer-Pen.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB19OUuIXXXXXXEXVXXq6xXFXXXo/The-latest-package-O-PEN-Vaporizer-Pen.jpg_640x640.jpg']"
17.5,50000 Piece/Pieces per Month,$50 OFF 2017 new vape mods electronic cigarette TC50B 60w empty cartridge hemp oil disposable, 1 Box,"Shenzhen Samo Technology Co., Limited",US $,box packing,14.5,"T/T,Western Union,MoneyGram,Paypal",https://subtechnology.m.en.alibaba.com,Shipped in 3 days after payment,Tom Luo,Shenzhen port, / Box,"['sc01.alicdn.com/kf/HTB1Gad0PXXXXXaYXFXXq6xXFXXXm/2017-new-vape-mods-electronic-cigarette-TC50B.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1ft1hPXXXXXafXXXXq6xXFXXXP/2017-new-vape-mods-electronic-cigarette-TC50B.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1vVRSPXXXXXaNXVXXq6xXFXXXy/2017-new-vape-mods-electronic-cigarette-TC50B.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1EXX_PXXXXXbsXXXXq6xXFXXXB/2017-new-vape-mods-electronic-cigarette-TC50B.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1fVhsPXXXXXbzaFXXq6xXFXXXW/2017-new-vape-mods-electronic-cigarette-TC50B.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1oP46PXXXXXaXXFXXq6xXFXXXj/2017-new-vape-mods-electronic-cigarette-TC50B.jpg_640x640.jpg']"
8.9,3000 Roll/Rolls per Day,New High Quality Folding Free Samples Cbd Hemp Oil Vape Pen, 10 Sets,"Shenzhen Rofvape Technology Co., Ltd.",US $,Usual packing for 2017 The best Quality Vape Vaporizer New Huge Vape Warlock Peas From Rofvape,7.5,"L/C,D/A,D/P,T/T,Western Union,MoneyGram,Paypal",https://rofvape.m.en.alibaba.com,24 Hours,Charlie Lee,Shenzhen, / Set,"['sc02.alicdn.com/kf/HTB1MBMaSpXXXXciXVXXq6xXFXXXm/New-High-Quality-Folding-Free-Samples-Cbd.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1lX.zSpXXXXX0XpXXq6xXFXXXr/New-High-Quality-Folding-Free-Samples-Cbd.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1sI3pSpXXXXagXFXXq6xXFXXXM/New-High-Quality-Folding-Free-Samples-Cbd.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1VzoASpXXXXacXpXXq6xXFXXXO/New-High-Quality-Folding-Free-Samples-Cbd.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1WaZiSpXXXXXzXVXXq6xXFXXXs/New-High-Quality-Folding-Free-Samples-Cbd.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1e4T8SpXXXXaAaXXXq6xXFXXXB/New-High-Quality-Folding-Free-Samples-Cbd.jpg_640x640.jpg']"
1.5,1000000 Piece/Pieces per Month,"$50 OFF Electric vaporizer pipe 0.5ml, 1.0ml capacity hemp oil cbd atomizer 510 glass cartridge", 10 Pieces,"Shenzhen ReyMont Technology Co., Ltd.",US $,Gift box,1.2,"T/T,Western Union,Paypal",https://reymonttech.m.en.alibaba.com,3-5days after payment,DUDU DENG,shenzhen, / Piece,"['sc01.alicdn.com/kf/HTB1luo4SpXXXXXPXXXXq6xXFXXXe/Electric-vaporizer-pipe-0-5ml-1-0ml.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1eKwSSpXXXXa4XpXXq6xXFXXX5/Electric-vaporizer-pipe-0-5ml-1-0ml.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB11EkuSpXXXXbdXVXXq6xXFXXXZ/Electric-vaporizer-pipe-0-5ml-1-0ml.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1uEz_SpXXXXXyaFXXq6xXFXXX2/Electric-vaporizer-pipe-0-5ml-1-0ml.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1SpQuSpXXXXbOXVXXq6xXFXXXd/Electric-vaporizer-pipe-0-5ml-1-0ml.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1V_MASpXXXXXCXVXXq6xXFXXXZ/Electric-vaporizer-pipe-0-5ml-1-0ml.jpg_640x640.jpg']"
